Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
A0620-00,BH,2.4157107e+26,3.2799626e+25,3.2799626e+25,7.4769759e+30,1.6988867e+30,2.3789769e+30,None,"Gallo et al. 2006, MNRAS, 370, 1351; Dincer et al. 2018, ApJ, 852, 4"
A0620-00,BH,1.4927177e+26,3.2130246e+25,3.2130246e+25,1.7992938e+31,3.8355481e+30,5.0149958e+30,None,"Gallo et al. 2006, MNRAS, 370, 1351; Dincer et al. 2018, ApJ, 852, 4"
XTE J1118+480,BH,1.011442e+29,0.0,0.0,2.062842e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,9.855076e+28,0.0,0.0,2.097762e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,7.676585e+28,0.0,0.0,1.761429e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,6.863974e+28,0.0,0.0,1.049432e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,4.737352e+28,0.0,0.0,7.009694e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,4.114926e+28,0.0,0.0,4.528549e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,3.215867e+28,0.0,0.0,2.326763e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,6.915843e+27,0.0,0.0,6.983964e+33,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,8.3e+25,0.0,0.0,4.3e+30,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.56e+29,0.0,0.0,3.2e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.69e+29,0.0,0.0,2.01e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.53e+29,0.0,0.0,2.18e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.48e+29,0.0,0.0,2.52e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,1.38e+29,0.0,0.0,2.65e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,1.62e+29,0.0,0.0,2.87e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.75e+29,0.0,0.0,2.96e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.64e+29,0.0,0.0,3.43e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.38e+29,0.0,0.0,3.72e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.38e+29,0.0,0.0,4.03e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,1.62e+29,0.0,0.0,4.03e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,2.56e+29,0.0,0.0,3.2e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
GX 339-4,BH,2.427485e+30,0.0,0.0,6.289781e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.324106e+30,0.0,0.0,6.232471e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.818699e+30,0.0,0.0,6.332764e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.118021e+30,0.0,0.0,2.937142e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.78605e+29,0.0,0.0,1.031581e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.360376e+28,0.0,0.0,5.630715e+34,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.592125e+30,0.0,0.0,3.275271e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.212397e+30,0.0,0.0,4.388519e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.05024e+30,0.0,0.0,7.716802e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.297304e+29,0.0,0.0,2.664919e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.862627e+29,0.0,0.0,1.073131e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.777047e+29,0.0,0.0,3.381295e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.818699e+30,0.0,0.0,1.299506e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.883789e+30,0.0,0.0,1.368278e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.971853e+30,0.0,0.0,1.42129e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.97951e+30,0.0,0.0,1.441349e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.665545e+30,0.0,0.0,5.37282e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.680861e+30,0.0,0.0,3.968723e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.175454e+30,0.0,0.0,2.650591e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.102706e+30,0.0,0.0,2.364041e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.686966e+29,0.0,0.0,2.249421e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.623894e+29,0.0,0.0,1.67632e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.159931e+29,0.0,0.0,1.79094e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.436953e+29,0.0,0.0,1.375442e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.135147e+29,0.0,0.0,1.045909e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.416671e+29,0.0,0.0,3.152054e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.466238e+30,0.0,0.0,7.857212e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.38516e+30,0.0,0.0,8.138031e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.661717e+30,0.0,0.0,3.008779e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.006985e+30,0.0,0.0,2.192111e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.777047e+29,0.0,0.0,1.833923e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.47074e+29,0.0,0.0,1.805268e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.509028e+29,0.0,0.0,1.90556e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.509028e+29,0.0,0.0,2.593281e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.036063e+29,0.0,0.0,3.58188e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.263517e+30,0.0,0.0,5.2582e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.105862e+29,0.0,0.0,3.58188e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.259016e+29,0.0,0.0,3.58188e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.680188e+29,0.0,0.0,3.940068e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.948207e+29,0.0,0.0,1.022985e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.135147e+29,0.0,0.0,1.253658e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.632897e+29,0.0,0.0,1.67632e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.211724e+29,0.0,0.0,1.229301e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.6419e+29,0.0,0.0,6.504694e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.292803e+29,0.0,0.0,2.378368e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.500025e+29,0.0,0.0,2.879832e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.945051e+30,0.0,0.0,8.625167e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.362394e+30,0.0,0.0,1.186319e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.764423e+30,0.0,0.0,2.014449e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.453614e+30,0.0,0.0,2.351146e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.154964e+30,0.0,0.0,2.362608e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.897759e+30,0.0,0.0,2.866937e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.154292e+30,0.0,0.0,3.13916e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.268484e+30,0.0,0.0,4.03463e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.957675e+30,0.0,0.0,4.740976e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.458581e+30,0.0,0.0,5.447323e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.68381e+30,0.0,0.0,5.812675e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.404304e+30,0.0,0.0,6.173728e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.213535e+30,0.0,0.0,6.355688e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.270295e+30,0.0,0.0,6.334197e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.090339e+30,0.0,0.0,6.483203e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.15543e+30,0.0,0.0,7.011888e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.703834e+30,0.0,0.0,4.627789e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.558338e+30,0.0,0.0,3.710828e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.474103e+30,0.0,0.0,2.908487e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.267346e+30,0.0,0.0,2.02018e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.725254e+29,0.0,0.0,1.384038e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.70047e+29,0.0,0.0,1.088892e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.054069e+29,0.0,0.0,8.739787e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.250013e+29,0.0,0.0,7.16376e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.326589e+29,0.0,0.0,6.590659e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.412169e+29,0.0,0.0,3.438605e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.373881e+29,0.0,0.0,2.292403e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.148652e+29,0.0,0.0,4.441531e+34,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.148652e+29,0.0,0.0,7.736861e+34,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
H 1743-322,BH,1.74978e+30,0.0,0.0,2.464333e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.469602e+30,0.0,0.0,3.624863e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.5052e+30,0.0,0.0,6.791245e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.350701e+30,0.0,0.0,8.969028e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,7.439437e+30,0.0,0.0,7.808498e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.423448e+28,0.0,0.0,1.742226e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.18694e+29,0.0,0.0,3.940068e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.259016e+29,0.0,0.0,4.728082e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.68469e+29,0.0,0.0,9.814351e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.990997e+29,0.0,0.0,7.092122e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.837843e+29,0.0,0.0,5.229545e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.722978e+29,0.0,0.0,4.359005e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.144151e+29,0.0,0.0,3.667845e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.806333e+28,0.0,0.0,2.492988e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.040564e+28,0.0,0.0,1.690647e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.806333e+28,0.0,0.0,8.023411e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.18694e+29,0.0,0.0,4.298256e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.509028e+28,0.0,0.0,2.005853e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,4.977492e+28,0.0,0.0,2.005853e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.680188e+28,0.0,0.0,3.152054e+33,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.662182e+29,0.0,0.0,1.50439e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.725254e+29,0.0,0.0,1.647665e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.304082e+29,0.0,0.0,1.704975e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.11264e+29,0.0,0.0,1.73363e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,3.59911e+29,0.0,0.0,9.642421e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,3.59911e+29,0.0,0.0,8.61084e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.576602e+29,0.0,0.0,1.96287e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.045273e+30,0.0,0.0,2.378368e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.266673e+29,0.0,0.0,7.564931e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.090547e+29,0.0,0.0,7.264053e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.569824e+29,0.0,0.0,6.891537e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.282661e+29,0.0,0.0,5.014632e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.247529e+29,0.0,0.0,4.040361e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.415998e+29,0.0,0.0,2.034508e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,7.313085e+28,0.0,0.0,1.088892e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.072075e+29,0.0,0.0,1.518717e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
V 404 Cyg,BH,6.185314e+27,0.0,0.0,2.622533e+32,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.714076e+28,0.0,0.0,1.049391e+34,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.543809e+29,0.0,0.0,8.96004e+34,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.025139e+29,0.0,0.0,1.362645e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.481974e+29,0.0,0.0,1.680425e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.348383e+29,0.0,0.0,5.72311e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.3487e+29,0.0,0.0,6.203632e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.583952e+29,0.0,0.0,7.172512e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.349653e+29,0.0,0.0,7.901109e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,4.049277e+29,0.0,0.0,8.29271e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,4.765561e+29,0.0,0.0,1.108529e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,6.60003e+29,0.0,0.0,1.8274e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,5.243287e+29,0.0,0.0,2.045754e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,6.088572e+29,0.0,0.0,3.061423e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.019141e+30,0.0,0.0,4.435962e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.019296e+30,0.0,0.0,5.046732e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.033294e+30,0.0,0.0,5.470465e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.572837e+30,0.0,0.0,6.746222e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
