Source,Date,Radio Flux (4.8/5.5 GHz),Radio Flux error (4.8/5.5 GHz),Radio Flux (8.4/9.0 GHz),Radio Flux error (8.4/9.0 GHz),X-ray Flux,X-ray Flux Error,X-ray Luminosity,X-ray Luminosity Error,Radio Luminosity,Radio Luminosity Error,Distance,Reference
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.50E+38,-1.00,1.16E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.51E+38,-1.00,1.23E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+38,-1.00,1.18E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+38,-1.00,1.23E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+38,-1.00,1.15E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.46E+38,-1.00,1.07E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.46E+38,-1.00,9.79E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.48E+38,-1.00,8.91E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.53E+38,-1.00,1.01E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.47E+38,-1.00,8.36E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.57E+38,-1.00,8.93E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.48E+38,-1.00,8.56E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.60E+38,-1.00,2.04E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.57E+38,-1.00,1.99E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.22E+38,-1.00,1.63E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.27E+38,-1.00,1.82E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.24E+38,-1.00,1.52E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.28E+38,-1.00,1.71E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.07E+38,-1.00,1.37E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.02E+38,-1.00,1.31E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.00E+38,-1.00,1.32E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.90E+38,-1.00,1.20E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.78E+38,-1.00,1.29E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.02E+38,-1.00,1.29E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.98E+38,-1.00,1.10E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.82E+38,-1.00,1.15E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.68E+38,-1.00,1.11E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.70E+38,-1.00,9.45E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.61E+38,-1.00,8.37E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.72E+38,-1.00,7.39E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.84E+38,-1.00,1.49E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.25E+38,-1.00,1.40E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.94E+38,-1.00,1.50E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.91E+38,-1.00,1.25E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.01E+38,-1.00,1.18E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.88E+38,-1.00,1.06E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.77E+38,-1.00,1.15E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.81E+38,-1.00,1.41E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.72E+38,-1.00,1.21E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.63E+38,-1.00,1.17E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.61E+38,-1.00,9.14E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.53E+38,-1.00,9.50E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.37E+38,-1.00,9.87E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.57E+38,-1.00,1.11E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+38,-1.00,9.84E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.56E+38,-1.00,1.09E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.56E+38,-1.00,1.11E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+38,-1.00,1.03E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.54E+38,-1.00,9.48E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.55E+38,-1.00,1.03E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.42E+38,-1.00,8.42E+31,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.47E+38,-1.00,1.04E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.51E+38,-1.00,1.01E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.55E+38,-1.00,2.09E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.40E+38,-1.00,1.44E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.41E+38,-1.00,1.98E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.40E+38,-1.00,1.26E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.35E+38,-1.00,1.75E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.39E+38,-1.00,1.35E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.34E+38,-1.00,1.70E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.25E+38,-1.00,1.75E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.33E+38,-1.00,1.61E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.22E+38,-1.00,1.57E+32,-1.00,11.0,R10
GRS1915+105,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.24E+38,-1.00,1.28E+32,-1.00,11.0,R10
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.69E+35,-1.00,1.16E+29,-1.00,3.2,C11b
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.69E+35,-1.00,1.53E+29,-1.00,3.2,C11b
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,5.50E+35,-1.00,1.65E+29,-1.00,3.2,C11b
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,9.32E+35,-1.00,1.58E+29,-1.00,3.2,C11b
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.48E+36,-1.00,1.26E+29,-1.00,3.2,C11b
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.30E+35,-1.00,1.24E+29,-1.00,3.2,C10
GROJ1655-40,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,7.55E+35,-1.00,6.76E+28,-1.00,3.2,C10
GROJ1655-40,-1.0,0,0.027,0,0.049,0.0011,0.0002,1.41E+32,6.34E+32,0,1.81E+27,3.2,C10Upp.Lim.
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.14E+36,-1.00,1.96E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.14E+36,-1.00,1.96E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.16E+36,-1.00,2.40E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.16E+36,-1.00,2.40E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.18E+36,-1.00,3.27E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.18E+36,-1.00,3.27E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.31E+36,-1.00,3.48E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.31E+36,-1.00,3.48E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.33E+36,-1.00,1.96E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.33E+36,-1.00,1.96E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.53E+36,-1.00,3.90E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.92E+36,-1.00,5.84E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.96E+36,-1.00,1.09E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.96E+36,-1.00,1.09E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.32E+36,-1.00,4.57E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.33E+36,-1.00,6.96E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.43E+36,-1.00,5.95E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.58E+36,-1.00,7.23E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.92E+36,-1.00,7.19E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.92E+36,-1.00,7.19E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.44E+36,-1.00,1.35E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.44E+36,-1.00,1.35E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.52E+36,-1.00,6.32E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.59E+36,-1.00,5.75E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,4.27E+36,-1.00,1.31E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,4.27E+36,-1.00,1.31E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,4.60E+36,-1.00,2.40E+28,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,7.17E+36,-1.00,2.03E+29,-1.00,-1.0,NS
NeutronStar,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,8.76E+36,-1.00,1.19E+29,-1.00,-1.0,NS
IGRJ17177-3656,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.01E+36,-1.00,1.31E+29,-1.00,8.0,P11
IGRJ17091-3624,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.78E+37,-1.00,5.09E+30,-1.00,20.0,R11
IGRJ17091-3624,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,5.46E+37,-1.00,6.44E+30,-1.00,20.0,R11
A0620-00,53602.4,-1.00,-1.00,0.05,0.01,-1.000,-1.000,8.94E+30,1.53E+30,7.42E+26,1.02E+26,1.2,G06
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.01E+35,-1.00,2.69E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.18E+35,-1.00,2.53E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+35,-1.00,2.48E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.65E+35,-1.00,1.38E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.87E+35,-1.00,1.62E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.96E+35,-1.00,2.75E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.43E+35,-1.00,2.64E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.72E+35,-1.00,2.38E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,4.03E+35,-1.00,2.38E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,4.03E+35,-1.00,1.62E+29,-1.00,1.7,F10
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.20E+35,-1.00,2.56E+29,-1.00,1.7,G03
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,0,1.80E+30,0,2.50E+26,1.7,MJ11Upp.Lim.
XTEJ1118+480,-1.0,-1.00,-1.00,-1.00,-1.00,1.2e-14,2.0e-15,4.1495e+30,7e+29,8.2989e+25,2.4205e+25,1.7,G14
XTEJ1720-318,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.78E+36,-1.00,1.06E+29,-1.00,6.5,"B05,F10"
XTEJ1720-318,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,5.13E+36,-1.00,1.56E+29,-1.00,6.5,"B05,F10"
XTEJ1650-500,52159.9,1.90,0.50,1.60,0.60,68.647,0.686,9.74E+36,9.74E+34,7.35E+28,1.93E+28,2.6,C04
XTEJ1650-500,52160.8,5.28,0.10,4.48,0.10,72.362,0.724,1.03E+37,1.03E+35,2.04E+29,3.87E+27,2.6,C04
XTEJ1650-500,52241.5,1.21,0.06,1.15,0.06,11.581,0.579,1.64E+36,8.21E+34,4.68E+28,2.32E+27,2.6,C04
XTEJ1650-500,52247.6,0.75,0.10,0.00,0.30,7.480,0.374,1.06E+36,5.30E+34,2.90E+28,3.87E+27,2.6,C04
SwiftJ1753.5-0127,53593.3,0.65,0.07,0.70,0.10,9.900,0.229,1.33E+37,3.07E+35,4.59E+29,6.56E+28,8.0,CB07
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.43E+37,-1.00,6.39E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.27E+37,-1.00,3.69E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.18E+37,-1.00,4.28E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.13E+37,-1.00,3.62E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.08E+37,-1.00,4.08E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.02E+37,-1.00,4.21E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,9.37E+36,-1.00,2.57E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,7.95E+36,-1.00,2.44E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,6.42E+36,-1.00,2.96E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,3.18E+37,-1.00,1.59E+30,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,2.52E+37,-1.00,1.19E+30,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.92E+37,-1.00,3.10E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.61E+37,-1.00,3.75E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,1.48E+37,-1.00,4.48E+29,-1.00,8.0,"S10,C11b"
SwiftJ1753.5-0127,-1.0,-1.00,-1.00,-1.00,-1.00,-1.000,-1.000,8.04E+36,-1.00,2.44E+29,-1.00,8.0,"S10,C11b"
MAXIJ1659-152,-1.0,4.92,0.04,-1.00,-1.00,0.000,-1.000,1.83E+37,-1.00,1.86E+30,1.51E+28,8.0,J12
MAXIJ1659-152,-1.0,10.00,0.00,-1.00,-1.00,0.000,-1.000,3.66E+37,-1.00,3.78E+30,0.00,8.0,J12
MAXIJ1659-152,-1.0,0.081,0.008,-1.00,-1.00,0.000,-1.000,6.33E+34,-1.00,3.07E+28,3.03E+27,8.0,J12
MAXIJ1659-152,-1.0,0.098,0.016,-1.00,-1.00,0.000,-1.000,1.07E+35,-1.00,3.71E+28,6.05E+27,8.0,J12
MAXIJ1659-152,-1.0,0.102,0.012,-1.00,-1.00,0.000,-1.000,4.43E+34,-1.00,3.86E+28,4.54E+27,8.0,J12
MAXIJ1659-152,-1.0,0,0.0021,-1.00,-1.00,0.000,-1.000,1.32E+33,-1.00,0,7.95E+27,8.0,J12Upp.Lim.
MAXIJ1659-152,-1.0,0,0.0017,-1.00,-1.00,0.000,-1.000,3.43E+31,-1.00,0,6.43E+27,8.0,J12Upp.Lim.
XTEJ1752-223,-1.0,2.50,0.08,2.42,0.05,22.950,0.803,3.08E+37,1.08E+36,1.66E+30,3.41E+28,8.0,B13
XTEJ1752-223,-1.0,2.15,0.11,1.99,0.08,22.570,0.790,3.03E+37,1.06E+36,1.37E+30,5.25E+28,8.0,B13
XTEJ1752-223,-1.0,1.87,0.07,2.05,0.07,23.283,0.815,3.13E+37,1.09E+36,1.41E+30,5.01E+28,8.0,B13
XTEJ1752-223,-1.0,1.78,0.08,2.10,0.10,22.714,0.795,3.05E+37,1.07E+36,1.44E+30,6.94E+28,8.0,B13
XTEJ1752-223,-1.0,20.00,0.06,21.71,0.04,55.799,1.953,7.49E+37,2.62E+36,1.49E+31,3.01E+28,8.0,B13
XTEJ1752-223,-1.0,4.26,0.08,3.26,0.04,6.919,0.242,9.29E+36,3.25E+35,2.24E+30,2.86E+28,8.0,B13
XTEJ1752-223,-1.0,3.45,0.04,2.71,0.04,8.770,0.307,1.18E+37,4.12E+35,1.86E+30,2.42E+28,8.0,B13
XTEJ1752-223,-1.0,3.41,0.05,2.68,0.06,8.513,0.298,1.14E+37,4.00E+35,1.84E+30,4.12E+28,8.0,B13
XTEJ1752-223,-1.0,2.99,0.07,1.91,0.05,9.143,0.320,1.23E+37,4.30E+35,1.31E+30,3.73E+28,8.0,B13
XTEJ1752-223,-1.0,3.24,0.07,2.44,0.04,8.165,0.286,1.10E+37,3.84E+35,1.67E+30,2.63E+28,8.0,B13
XTEJ1752-223,-1.0,2.81,0.03,2.01,0.05,7.800,0.273,1.05E+37,3.67E+35,1.38E+30,3.35E+28,8.0,B13
XTEJ1752-223,-1.0,1.07,0.09,0.90,0.05,5.443,0.190,7.31E+36,2.56E+35,6.17E+29,3.53E+28,8.0,B13
XTEJ1752-223,-1.0,1.21,0.03,0.90,0.03,5.207,0.182,6.99E+36,2.45E+35,6.19E+29,2.17E+28,8.0,B13
XTEJ1752-223,-1.0,1.25,0.06,0.83,0.06,5.000,0.175,6.71E+36,2.35E+35,5.68E+29,3.80E+28,8.0,B13
XTEJ1752-223,-1.0,1.69,0.05,1.07,0.04,3.521,0.123,4.73E+36,1.65E+35,7.35E+29,3.06E+28,8.0,B13
XTEJ1752-223,-1.0,1.70,0.04,1.20,0.03,3.359,0.118,4.51E+36,1.58E+35,8.22E+29,2.25E+28,8.0,B13
XTEJ1752-223,-1.0,1.79,0.06,1.13,0.04,3.170,0.111,4.26E+36,1.49E+35,7.76E+29,2.50E+28,8.0,B13
XTEJ1752-223,-1.0,0.48,0.09,0.28,0.04,0.961,0.034,1.29E+36,4.52E+34,1.93E+29,2.44E+28,8.0,B13
XTEJ1752-223,-1.0,0.26,0.02,0.19,0.04,0.926,0.032,1.24E+36,4.35E+34,1.30E+29,2.83E+28,8.0,B13
XTEJ1752-223,-1.0,0.20,0.03,0.18,0.03,1.289,0.045,1.73E+36,6.06E+34,1.22E+29,2.28E+28,8.0,B13
